CustomerID,InternalObligorID,OriginalInternalObligorID,ObligorName,City,Country,ZipCodeForeignMailingCode,IndustryCode,IndustryCodeType,InternalRating,TIN,StockExchange,TKR,CUSIP,InternalCreditFacilityID,OriginalInternalCreditFacilityID,OriginationDate,MaturityDate,FacilityType,OtherFacilityType,CreditFacilityPurpose,OtherFacilityPurpose,CommittedExposure,UtilizedExposure,LineReportedOnFRY9C,LineOfBusiness,CumulativeChargeoffs,ASC310-10
CUST001,OBL001,OBL001,"Herring, Ford and Montgomery",South Julietown,US,95004,722511,3,B-,593-53-7069,NA,NA,NA,FCL001,FCL001,07-07-2022,12-01-2035,14,,9,,7182625,2462233,4,Facilitate E-Business Relationships,302603,60520
CUST002,OBL002,OBL002,Lewis and Sons,Rachelmouth,US,27002,325411,3,BBB-,874-28-1764,LSE,eFs,362934,FCL002,FCL002,14-10-2021,16-03-2030,14,,25,,6549428,3874696,3,Implement Magnetic Partnerships,203179,40635
CUST003,OBL003,OBL003,"Jimenez, Martinez and Bonilla",Lake Evelynland,US,32671,518210,2,BBB-,625-39-4504,NYSE,VVC,214041,FCL003,FCL003,30-09-2016,28-06-2030,99,,14,,48195303,32219538,3,Aggregate Leading-Edge Partnerships,387328,77465
CUST004,OBL004,OBL004,"Ramirez, Gonzales and Garza",New Caitlin,US,11731,325411,3,D,561-06-8766,LSE,PUR,749540,FCL004,FCL004,02-01-2023,17-07-2032,5,,11,,53577701,31118951,5,Architect Clicks-And-Mortar Vortals,455926,91185
CUST005,OBL005,OBL005,Individual,East Taylorton,US,08657,111130,1,AA,NA,NA,NA,NA,FCL005,FCL005,12-08-2017,02-07-2027,1,,14,,30575247,19925353,3,Leverage Bricks-And-Clicks Deliverables,109420,21884
CUST006,OBL006,OBL006,Nguyen-Coleman,South Ronald,US,05670,331210,1,B-,083-40-7113,LSE,gPg,748629,FCL006,FCL006,13-09-2018,10-11-2033,5,,10,,54439968,24155429,4,Disintermediate Turn-Key Eyeballs,44095,8819
CUST007,OBL007,OBL007,Individual,Port Ashley,US,56516,722511,1,BB,NA,NA,NA,NA,FCL007,FCL007,26-10-2017,06-05-2033,1,,7,,18239492,6216183,3,Syndicate Cutting-Edge Channels,20133,4026
CUST008,OBL008,OBL008,Individual,Mendozaton,US,17073,221119,2,B-,NA,NA,NA,NA,FCL008,FCL008,23-06-2020,26-05-2031,14,,10,,40283826,15295304,3,Seize Best-Of-Breed Users,163663,32732
CUST009,OBL009,OBL009,Individual,Heatherview,US,48863,624120,3,BB,NA,NA,NA,NA,FCL009,FCL009,03-03-2021,31-03-2033,14,,10,,29776269,20113694,4,Matrix Clicks-And-Mortar Synergies,82489,16497
CUST010,OBL010,OBL010,Williams LLC,North Susan,US,72867,221310,2,AAA,350-71-1271,NYSE,DZA,981295,FCL010,FCL010,14-04-2016,30-09-2032,99,,7,,21306312,9333520,4,Re-Contextualize E-Business Models,311028,62205
